frame_index,seconds,lagging_edge_px,leading_edge_px,lagging_edge_mm,leading_edge_mm
56,15.135135135135135,34,1054,4.840677966101695,150.06101694915253
57,15.405405405405405,34,1054,4.840677966101695,150.06101694915253
58,15.675675675675675,34,1054,4.840677966101695,150.06101694915253
59,15.945945945945946,34,1054,4.840677966101695,150.06101694915253
60,16.216216216216214,34,1054,4.840677966101695,150.06101694915253
61,16.486486486486484,34,1054,4.840677966101695,150.06101694915253
62,16.756756756756754,34,176,4.840677966101695,25.057627118644067
63,17.027027027027025,34,176,4.840677966101695,25.057627118644067
64,17.297297297297295,34,1054,4.840677966101695,150.06101694915253
65,17.56756756756757,34,1054,4.840677966101695,150.06101694915253
66,17.83783783783784,34,1054,4.840677966101695,150.06101694915253
67,18.10810810810811,34,48,4.840677966101695,6.8338983050847455
68,18.37837837837838,34,1054,4.840677966101695,150.06101694915253
69,18.64864864864865,34,1054,4.840677966101695,150.06101694915253
70,18.91891891891892,34,1054,4.840677966101695,150.06101694915253
71,19.18918918918919,34,192,4.840677966101695,27.335593220338982
72,19.45945945945946,34,1054,4.840677966101695,150.06101694915253
73,19.72972972972973,34,1054,4.840677966101695,150.06101694915253
74,20.0,988,1054,140.66440677966102,150.06101694915253
75,20.27027027027027,980,1054,139.52542372881356,150.06101694915253
76,20.54054054054054,978,1054,139.24067796610169,150.06101694915253
77,20.81081081081081,976,1054,138.95593220338984,150.06101694915253
78,21.08108108108108,34,1054,4.840677966101695,150.06101694915253
79,21.35135135135135,34,1054,4.840677966101695,150.06101694915253
80,21.62162162162162,34,1054,4.840677966101695,150.06101694915253
81,21.89189189189189,34,1039,4.840677966101695,147.92542372881357
82,22.16216216216216,34,176,4.840677966101695,25.057627118644067
83,22.43243243243243,34,1054,4.840677966101695,150.06101694915253
84,22.7027027027027,588,1054,83.71525423728814,150.06101694915253
85,22.972972972972972,34,1054,4.840677966101695,150.06101694915253
86,23.243243243243242,988,1054,140.66440677966102,150.06101694915253
87,23.513513513513512,34,1054,4.840677966101695,150.06101694915253
88,23.783783783783782,34,1054,4.840677966101695,150.06101694915253
89,24.054054054054053,992,1054,141.23389830508475,150.06101694915253
90,24.324324324324323,988,1054,140.66440677966102,150.06101694915253
91,24.594594594594593,976,1054,138.95593220338984,150.06101694915253
92,24.864864864864863,34,1054,4.840677966101695,150.06101694915253
93,25.135135135135133,34,144,4.840677966101695,20.501694915254237
94,25.405405405405403,34,176,4.840677966101695,25.057627118644067
95,25.675675675675674,34,1054,4.840677966101695,150.06101694915253
96,25.945945945945944,972,1054,138.3864406779661,150.06101694915253
97,26.216216216216214,580,1054,82.57627118644068,150.06101694915253
98,26.486486486486484,34,1054,4.840677966101695,150.06101694915253
99,26.756756756756754,34,176,4.840677966101695,25.057627118644067
100,27.027027027027025,34,60,4.840677966101695,8.542372881355933
101,27.297297297297295,34,200,4.840677966101695,28.47457627118644
102,27.567567567567565,34,1054,4.840677966101695,150.06101694915253
103,27.837837837837835,34,984,4.840677966101695,140.0949152542373
