frame_index,seconds,lagging_edge_px,leading_edge_px,lagging_edge_mm,leading_edge_mm
45,12.162162162162161,34,144,4.840677966101695,20.501694915254237
46,12.432432432432432,34,144,4.840677966101695,20.501694915254237
47,12.702702702702702,34,148,4.840677966101695,21.071186440677966
48,12.972972972972972,34,150,4.840677966101695,21.35593220338983
49,13.243243243243242,34,151,4.840677966101695,21.498305084745763
50,13.513513513513512,34,152,4.840677966101695,21.640677966101695
51,13.783783783783782,34,152,4.840677966101695,21.640677966101695
52,14.054054054054053,34,150,4.840677966101695,21.35593220338983
53,14.324324324324323,34,144,4.840677966101695,20.501694915254237
54,14.594594594594595,34,140,4.840677966101695,19.93220338983051
55,14.864864864864865,34,140,4.840677966101695,19.93220338983051
56,15.135135135135135,34,144,4.840677966101695,20.501694915254237
57,15.405405405405405,34,144,4.840677966101695,20.501694915254237
58,15.675675675675675,34,148,4.840677966101695,21.071186440677966
59,15.945945945945946,34,150,4.840677966101695,21.35593220338983
60,16.216216216216214,34,152,4.840677966101695,21.640677966101695
61,16.486486486486484,34,154,4.840677966101695,21.92542372881356
62,16.756756756756754,34,156,4.840677966101695,22.210169491525424
63,17.027027027027025,34,157,4.840677966101695,22.352542372881356
64,17.297297297297295,34,157,4.840677966101695,22.352542372881356
65,17.56756756756757,34,157,4.840677966101695,22.352542372881356
66,17.83783783783784,34,156,4.840677966101695,22.210169491525424
67,18.10810810810811,34,153,4.840677966101695,21.783050847457627
68,18.37837837837838,34,148,4.840677966101695,21.071186440677966
69,18.64864864864865,34,144,4.840677966101695,20.501694915254237
70,18.91891891891892,34,146,4.840677966101695,20.7864406779661
71,19.18918918918919,34,151,4.840677966101695,21.498305084745763
72,19.45945945945946,34,155,4.840677966101695,22.06779661016949
73,19.72972972972973,34,157,4.840677966101695,22.352542372881356
74,20.0,34,159,4.840677966101695,22.63728813559322
75,20.27027027027027,34,160,4.840677966101695,22.779661016949152
76,20.54054054054054,34,160,4.840677966101695,22.779661016949152
77,20.81081081081081,34,161,4.840677966101695,22.922033898305084
78,21.08108108108108,34,164,4.840677966101695,23.34915254237288
79,21.35135135135135,34,163,4.840677966101695,23.20677966101695
80,21.62162162162162,34,160,4.840677966101695,22.779661016949152
81,21.89189189189189,34,160,4.840677966101695,22.779661016949152
82,22.16216216216216,34,156,4.840677966101695,22.210169491525424
83,22.43243243243243,34,152,4.840677966101695,21.640677966101695
84,22.7027027027027,34,155,4.840677966101695,22.06779661016949
85,22.972972972972972,34,159,4.840677966101695,22.63728813559322
86,23.243243243243242,34,160,4.840677966101695,22.779661016949152
87,23.513513513513512,34,160,4.840677966101695,22.779661016949152
88,23.783783783783782,34,164,4.840677966101695,23.34915254237288
89,24.054054054054053,34,166,4.840677966101695,23.633898305084745
90,24.324324324324323,34,167,4.840677966101695,23.776271186440677
91,24.594594594594593,34,168,4.840677966101695,23.91864406779661
92,24.864864864864863,34,168,4.840677966101695,23.91864406779661
93,25.135135135135133,34,168,4.840677966101695,23.91864406779661
94,25.405405405405403,34,168,4.840677966101695,23.91864406779661
95,25.675675675675674,34,166,4.840677966101695,23.633898305084745
96,25.945945945945944,34,160,4.840677966101695,22.779661016949152
97,26.216216216216214,34,160,4.840677966101695,22.779661016949152
98,26.486486486486484,34,157,4.840677966101695,22.352542372881356
99,26.756756756756754,34,160,4.840677966101695,22.779661016949152
100,27.027027027027025,34,164,4.840677966101695,23.34915254237288
101,27.297297297297295,34,167,4.840677966101695,23.776271186440677
102,27.567567567567565,34,169,4.840677966101695,24.061016949152542
103,27.837837837837835,34,172,4.840677966101695,24.48813559322034
104,28.108108108108105,34,173,4.840677966101695,24.63050847457627
